start,end,text,sentiment,intent
5,10,"Okay,  so",Neutral,navigation
10,15,"the  drive  you're  going  to  complete  and  use  the  automation  and  the  object  detection  systems,  then  you  will  not",Negative,vehicle_status
15,20,need  to  operate  the  vehicle.  So  keep  your  hands  up  this  steering  wheel  and  heat  up  the  pedals  and  once  we  get  that,Positive,vehicle_status
20,25,"drive.  So  when  you  see  this  and  drive  in  the  car,  have  I  green?  Make  sure  you  don't  get  the  brake  at  any  point",Positive,vehicle_status
25,30,"during  the  drive.  This  drive,  the  car  can  have  a  look  at  what  have  been  hooded.  Yes,  we're  getting  visual",Positive,vehicle_status
30,35,"feedback  for  targets  that  are  in  the  environment.  The  car  can  have  a  look  at  how  it  should  pay  attention  to  that  screen,  to  aid",Positive,navigation
35,40,"them  when  out  to  turn  the  commission.  Remember  to  tap  the  targets  on  that  hooded.  Yes,  as  well  as,  including",Positive,navigation
40,45,the  ghost  work  station  task.,Neutral,navigation
45,50,"All  right,  so  all  drivers  put  on  the  brake.  You're  not",Negative,lane_change
50,55,able  to  move  your  foot  from  the  brake  until  I  instruct  you  to  remove  it.,Positive,lane_change
60,65,"Oh,  you  drove  through",Negative,traffic_update
65,70,me.,Positive,navigation
70,75,Any,Positive,navigation
75,80,other  go  back.  I  have  driver  and  only  the  car  can  have,Positive,vehicle_status
80,85,driver.  Yes.  I  am,Positive,vehicle_status
85,90,now  in  drive.,Positive,vehicle_status
90,95,And  I,Positive,navigation
95,100,"drove  through  my  driver's,  you  need  to  remove  your  foot.",Negative,traffic_update
100,105,We  now  have  some  driver  on.,Positive,vehicle_status
105,110,"One,  a  color  scooter",Positive,pedestrian_alert
110,115,head.  It  costs  a  body  pack.  Scooter.,Positive,navigation
120,125,It's  driving  out  of  it.  I,Neutral,traffic_update
125,130,"see  scooters  on  both  sides  of  the  road.  Nope,",Neutral,pedestrian_alert
130,135,not  this  one.  Not  motorcycles.  They're  going  to  like  scooter.,Negative,vehicle_status
135,140,"Yeah,  that's  on  the  left  side  of  the  road.  Yeah,  I  saw  the  passing  now.",Neutral,traffic_update
150,155,Do  you  have  any  target?  Not  yet.  I,Neutral,navigation
155,160,"hit  more  get  identified,  but  it's  all.",Neutral,accident_warning
160,165,It  was  motorcyclist.  We're  giving  me  a  car.  It's  a  car.,Neutral,vehicle_status
165,170,"There's  boxes  on  the  roof.  Yeah,  past.  Oh,  I  see  it.  It's",Positive,navigation
170,175,at  10  o 'clock.  I  think,Neutral,navigation
175,180,he's  on  the  left  side.  Passing  now.,Neutral,traffic_update
180,185,We're  also  passing  now.  One.,Negative,traffic_update
185,190,Why  is  a,Negative,navigation
190,195,car  three  so  far  behind  car  two?,Neutral,navigation
195,200,Yeah.,Positive,navigation
205,210,Yeah.  It's  hard  to,Negative,navigation
210,215,get.  Is  the  ODS  working?,Negative,parking_assistance
215,220,"Yes.  Sometimes  they  have  a  brake  button  there.  It  says,  I  can't  find  it.",Neutral,navigation
220,225,"No,  you  won't  see  anything,  but  that  I  should  see  something  in  the  passenger  seat  of  the",Negative,navigation
225,230,ODS  is  parking.  You  should  be  a  wide  car  right  now.  The  right  now.,Positive,parking_assistance
230,235,"The  right  car.  That's  the  ODS.  No,  it's  the",Positive,vehicle_status
235,240,"ODS.  No,  it's  the  ODS.  That's  the  ODS.",Positive,navigation
240,245,Yeah.  I  see  a  camel.,Neutral,navigation
245,250,It's  got  cars  coming,Positive,vehicle_status
250,255,"up.  Oh,  I  haven't  messed  all  that.  There's  a  driving  white  car  on",Positive,vehicle_status
255,260,the  left.  Yeah.  The  car  on  the  left.  But  he's  not,Negative,vehicle_status
260,265,passing  now.  I  think  that  was  it.  We  have  another,Negative,navigation
265,270,white  SUV.  And  passing  that  on  the  left,Neutral,vehicle_status
270,275,now.  That  was  the  car.  I,Positive,vehicle_status
275,280,don't  know  what  it  was.,Negative,navigation
280,285,Passing  military  checkpoint.,Neutral,navigation
285,290,"Um,",Neutral,navigation
290,295,nearly  nine  was  a  truck.  I  know  it  was  a  truck.,Positive,navigation
295,300,Yeah.,Positive,navigation
300,305,Yeah.  Yeah.,Positive,navigation
310,315,"Yeah.  Jackie,  do  you  feel  like  this  has",Neutral,navigation
315,320,given  you  enough  to  understand  or  do  you  want  to  continue?  Yeah.  I,Positive,navigation
320,325,"think  is,  um,  how  about  you  come  under?  I  think  he's  enough.",Positive,navigation
325,330,"I  mean,  I'm  fine.  But  we  can  stop  if  you  want  to.  Yeah.  Okay.",Negative,accident_warning
330,335,"Yeah.  We  can  kill  it.  So,  um,  all",Negative,navigation
335,340,drivers  will  slow  the  picture  foot  on  the  brake.,Negative,change_speed
340,345,Command  of  breaking  out.,Neutral,navigation
345,350,Please  don't  run  through  me.,Negative,navigation
350,355,We've  been  rear -ended.  Uh -huh.,Negative,vehicle_status
355,360,"In  park  now.  Good  job,  me.",Positive,parking_assistance
