start,end,text,sentiment,intent
5,10,"Okay,  so  the",Neutral,navigation
10,15,drive  you're  going  to  completely  use  the  E -Cloudimation  and  the  Object  Detection  System  so  that  means  you  will  not  need,Neutral,navigation
15,20,"to  operate  the  vehicle,  so  keep  your  hands  off  the  steering  wheel  and  feed  off  the  pedals  once  we  get  that  drive.",Neutral,vehicle_status
20,25,"So  when  you  see  that  some  driver  indicator  highlight  green,  make  sure  you  don't  hit  the  brake  at  any  point  during",Neutral,accident_warning
25,30,"the  drive.  With  this  drive,  the  Car  Cab  Lookout  will  have  the  ODS  for  getting  visual",Neutral,navigation
30,35,"feedback  for  targets  that  are  in  the  environment,  so  the  Car  Cab  Lookout  should  pay  attention  to  that  screen  to  aid  them",Neutral,navigation
35,40,when  you're  pointing  out  to  during  the  mission.  Remember  to  tap  the  targets  on  that  ODS  as  well  as  completing,Neutral,navigation
40,45,this  workstation  task.,Neutral,navigation
45,50,"Alright,  so  all  drivers,  put  your  foot  on  the  brake.  Do  not  remove",Neutral,traffic_update
50,55,"your  foot  from  the  brake  until  I  instruct  you  to  remove  it.  Car  Cab  Driver,  you  may  start",Neutral,lane_change
55,60,"the  car.  All  drivers,  with  your  foot  still  on  the  brake,",Neutral,vehicle_status
60,65,you've  been  on  the  brake  and  do  not  start  yet  if  you're  put  on  the  brake.  You  drove  through  me.,Neutral,accident_warning
65,70,Car  Cab  Driver.,Neutral,vehicle_status
75,80,Car  Cab  Driver  and  only  the  Car  Cab,Neutral,vehicle_status
80,85,Driver?  Yes.  Make  sure  everyone  doesn't  drive.,Neutral,vehicle_status
85,90,I  am  now  in  drive.  Car  Cab  Driver  and  only  the  Car  Cab  Driver.,Neutral,vehicle_status
90,95,You  may  begin  moving  forward.,Neutral,change_speed
95,100,As  I  drove  through...  That's  not  drivers  you  may  remove  your  foot  from  the  brake.  We,Neutral,traffic_update
100,105,now  have  Sim  Driver  on.  We're  looking  at  the  person  on  the,Neutral,navigation
105,110,scooter.  One.  A  color  scooter.,Neutral,navigation
110,115,"Crossbody  bag.  Scooter?  Yeah,  it  has  a",Neutral,navigation
115,120,crossbody  bag.,Neutral,navigation
120,125,It's  driving.  It's  not  a...  I,Neutral,traffic_update
125,130,"see  scooters  on  both  sides  of  the  road.  Nope,",Neutral,pedestrian_alert
130,135,"not  this  one.  Yeah,  it's  like  an  electric  scooter.",Neutral,navigation
135,140,"Ah,  yeah,  that's  on  the  left  side  of  the  road.  Yeah,  I  saw  it  on  the  left.  Passing  now.",Neutral,traffic_update
140,145,"10  o 'clock.  Yeah,  that  was  a  practice  test.",Neutral,navigation
150,155,Do  we  have  any  target?  Not  yet.  I  hit,Neutral,signal_alert
155,160,"target  identified,  but...  Yes,  Paul.",Neutral,navigation
160,165,Those  motorcyclists  were  giving  me  a  car.  A  red  car,Neutral,vehicle_status
165,170,"that's  kind  of  beat  up.  There's  a  box  that's  on  the  roof.  Uh -huh.  Pass.  Oh,  I  see  it.  It's  at",Neutral,navigation
170,175,"10  o 'clock.  Yeah,  I'm  on  the  left  side.  I  think  we",Neutral,navigation
175,180,"used...  I'm  the  left  side.  Yeah.  Passing  now.  Yeah,",Neutral,traffic_update
180,185,we're  also  passing  now.  Car  one.,Neutral,vehicle_status
185,190,Why  is  car,Neutral,vehicle_status
190,195,three  so  far  behind  car  two?  I  don't  know.,Neutral,vehicle_status
205,210,So...  There's  a  target  gap.,Neutral,navigation
210,215,Is  the  ODS  working?,Neutral,navigation
215,220,"Yes.  Sometimes  it  has  a  green  button  there  that  says  identified.  No,",Neutral,navigation
220,225,"you  won't  see  anything,  but  Jack  should  see  something  in  the  passenger  seat  if  the  ODS",Neutral,navigation
225,230,is  parking.  There  should  be  a  wide  car  right  now.  There's  still  a  green  button  here.,Neutral,parking_assistance
230,235,"A  wide  car.  SUV  like  a  TV,  yeah.  It's  now  we're  looking  at  a  white",Neutral,vehicle_status
235,240,"stand  or  SUV.  SUV,  yeah.  Yeah,  SUV.",Neutral,vehicle_status
240,245,I  see  a  camel.,Neutral,navigation
245,250,Thank  you.  And  we  got  cars  coming,Positive,vehicle_status
250,255,up.  There's  a  driving  white  car  on  the  left.,Neutral,traffic_update
260,265,Passing  now.  I  think  that  was  it.  We  have  another  white,Neutral,navigation
265,270,"SUV.  And...  Yeah,  passing  that  one  on  the  left  now.",Neutral,vehicle_status
280,285,Passing  military  checkpoint.,Neutral,navigation
285,290,"No,",Negative,navigation
290,295,it  was  a  truck.  I  know  it  was  a  tenant  on  the  truck.,Neutral,vehicle_status
295,300,Yeah.,Positive,navigation
300,305,Yeah.,Positive,navigation
310,315,"Jack,  do  you  feel  like  this  has  given",Neutral,navigation
315,320,"you  enough  to  understand  or  do  you  want  to  continue?  Yeah,  I",Neutral,navigation
320,325,think  it's...  How  about  you  come  in  there?  I  think  it's  enough.,Neutral,navigation
325,330,"I  mean,  I'm  having  fun,  but  we  can  stop  if  you  want  to.  Okay.",Neutral,accident_warning
330,335,"Yeah,  we  can  feel  it.",Neutral,navigation
335,340,All  right.  Command,Neutral,navigation
340,345,are  breaking  now.,Neutral,navigation
345,350,Please  don't  run  through  me.  No!,Negative,navigation
350,355,We've  been  rear -ended.  Uh -huh.  Uh -huh.,Neutral,vehicle_status
355,360,"In  park  now.  Good  job,  Steve.",Positive,parking_assistance
